# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2445
#@/user_id	Win
ai 	爱	c=3 d=2.83244 t=2043
long men jia 	龙门架	c=1 d=1 t=2433
lu pang 	路旁	c=1 d=0.00577048 t=2445
lu you 	路由	c=3 d=2.74576 t=1999
luan 	乱	c=1 d=1 t=1516
lv le lv 	捋了捋	c=1 d=0.0159229 t=2445
lv xing 	旅行	c=1 d=0.212248 t=2445
lve xian 	略显	c=1 d=0.0784731 t=2445
ma bi 	麻痹	c=1 d=0.0051953 t=2445
mai 	买	c=3 d=2.77287 t=1199
mai dao 	买到	c=1 d=1 t=1197
mai le 	买了	c=1 d=1 t=1180
mang mu 	盲目	c=1 d=1 t=2352
mei 	没	c=2 d=0.461556 t=2445
mei ci 	每次	c=0 d=0.1 t=1327
mei ci yi 	每次一	c=1 d=1 t=1328
mei deng 	没等	c=1 d=0.00412784 t=2445
mei ge 	每个	c=2 d=1.12873 t=1967
mei ge ren 	每个人	c=2 d=1.1549 t=2283
mei mei 	每每	c=1 d=1 t=1597
mei nian 	每年	c=1 d=1 t=1562
mei shuo hua 	没说话	c=1 d=0.449329 t=2445
mei tian 	每天	c=1 d=1 t=1203
mei tou 	眉头	c=1 d=0.0193512 t=2445
mei xiang guo 	没想过	c=1 d=0.0308074 t=2445
mei you 	没有	c=9 d=0.358127 t=2445
mei you le 	没有了	c=2 d=0.111917 t=2445
men 	们	c=3 d=0.0826446 t=2445
meng 	梦	c=2 d=1.05256 t=2445
meng jing 	梦境	c=1 d=0.852144 t=2445
mi 	眯	c=1 d=0.357007 t=2445
mi mi ma ma 	密密麻麻	c=1 d=0.0695994 t=2445
mi zhe 	眯着	c=1 d=0.137381 t=2445
mi zhe yan 	眯着眼	c=1 d=0.236928 t=2445
mian wu biao qing 	面无表情	c=1 d=0.00388746 t=2445
miao shu 	描述	c=1 d=0.625002 t=2445
mie shi 	蔑视	c=1 d=1 t=1662
min zu zhu yi 	民族主义	c=1 d=1 t=1702
ming 	名	c=1 d=1 t=1596
ming bai 	明白	c=1 d=1 t=1257
ming ci 	名词	c=1 d=1 t=1259
ming que 	明确	c=1 d=0.369723 t=2445
ming xian 	明显	c=1 d=1 t=2365
ming zhi dao 	明知道	c=2 d=1.91393 t=2235
mo 	摸	c=1 d=0.0492917 t=2445
mo xing 	模型	c=1 d=1 t=1940
mu biao 	目标	c=2 d=1.79453 t=2001
mu guang 	目光	c=2 d=0.449221 t=2445
mu lu 	目录	c=1 d=1 t=1483
mu qian 	目前	c=2 d=1.29523 t=2004
mu zhi 	木质	c=1 d=0.100259 t=2445
na 	拿	c=1 d=0.19205 t=2445
na 	那	c=4 d=0.158097 t=2445
na chu 	拿出	c=1 d=0.213312 t=2445
na li 	那里	c=1 d=0.286505 t=2445
na li lai 	哪里来	c=1 d=1 t=1378
na li le 	哪里了	c=1 d=1 t=1381
na li ren 	哪里人	c=1 d=0.444858 t=2445
na liang ge ren 	那两个人	c=1 d=0.283654 t=2445
na me 	那么	c=3 d=0.634448 t=2445
na nie 	拿捏	c=1 d=1 t=2127
na pa 	哪怕	c=1 d=1 t=1895
na shi hou 	那时候	c=1 d=1 t=1172
na tian 	哪天	c=1 d=1 t=1247
na xie 	那些	c=2 d=1.72979 t=2187
na yi 	那一	c=1 d=0.00554422 t=2445
na yi duan 	那一端	c=1 d=0.161218 t=2445
na yi shun jian 	那一瞬间	c=1 d=0.740818 t=2445
na yi xia 	那一下	c=1 d=0.00737249 t=2445
nai xin 	耐心	c=3 d=2.37125 t=2341
nan nv 	男女	c=1 d=1 t=2135
nao zi 	脑子	c=2 d=0.928463 t=2445
nao zi li 	脑子里	c=1 d=0.0293049 t=2445
ne 	呢	c=2 d=0.491644 t=2445
nei 	内	c=1 d=1 t=1773
nei xin 	内心	c=2 d=0.680457 t=2445
nei xin you 	内心有	c=1 d=0.00416933 t=2445
neng 	能	c=1 d=1 t=2237
neng kan jian 	能看见	c=1 d=0.0192547 t=2445
ni 	你	c=3 d=1.73735 t=2363
ni de 	你的	c=1 d=1 t=2333
ni xian 	你先	c=1 d=0.486752 t=2445
ni xin zhong 	你心中	c=1 d=1 t=2292
nian 	年	c=3 d=2.05532 t=1563
nie 	捏	c=2 d=0.880119 t=2445
ning wang 	凝望	c=1 d=0.0106202 t=2445
ning xiao 	狞笑	c=1 d=0.506617 t=2445
niu ye ye 	牛爷爷	c=1 d=0.666977 t=2445
nuo dong 	挪动	c=1 d=0.0257325 t=2445
nv peng you 	女朋友	c=1 d=1 t=2073
ou er 	偶尔	c=1 d=1 t=1770
pa shi 	怕事	c=1 d=1 t=1670
pai chi 	排斥	c=1 d=1 t=1614
pai le pai 	拍了拍	c=1 d=0.0110536 t=2445
pan gen cuo jie 	盘根错节	c=1 d=0.0710054 t=2445
pan tan 	攀谈	c=2 d=0.337815 t=2445
pang 	旁	c=4 d=0.637119 t=2445
pei yang 	培养	c=1 d=1 t=2344
peng you 	朋友	c=13 d=2.96603 t=2159
pi 	皮	c=1 d=0.00763509 t=2445
piao piao ran 	飘飘然	c=1 d=0.0235177 t=2445
pin fan 	频繁	c=1 d=1 t=2403
ping deng 	平等	c=1 d=1 t=2108
ping jing 	平静	c=1 d=0.00798652 t=2445
pu 	铺	c=1 d=0.0623495 t=2445
qi che 	汽车	c=1 d=1 t=2434
qi dong 	启动	c=4 d=1.3268 t=2435
qi guai 	奇怪	c=1 d=0.0569831 t=2445
qi lai 	起来	c=3 d=1.10087 t=2445
qi pian 	欺骗	c=1 d=1 t=2147
qi shi 	其实	c=2 d=0.0243554 t=2445
qi ta 	其他	c=3 d=2.19006 t=1932
qi wang 	期望	c=1 d=1.00937 t=2325
qi yong 	启用	c=1 d=1 t=1454
qi zhong 	其中	c=1 d=0.101266 t=2445
qian 	前	c=1 d=0.092089 t=2445
qian 	钱	c=6 d=4.9696 t=1397
qian bao 	钱包	c=1 d=1 t=1183
qian tai 	前台	c=5 d=0.494737 t=2445
qiang 	墙	c=1 d=0.0724398 t=2445
qiang da 	强大	c=1 d=1 t=1613
qiang lie 	强烈	c=2 d=0.0603055 t=2445
qiang sheng 	强盛	c=1 d=1 t=1640
qiang zhuang 	强装	c=1 d=0.433874 t=2445
qiang zhuang zhen ding 	强装镇定	c=1 d=0.0515605 t=2445
qie 	且	c=1 d=1 t=1515
qie ge 	切割	c=1 d=0.860708 t=2445
qing chu 	清楚	c=1 d=0.0383884 t=2445
qing heng 	轻哼	c=1 d=0.00995182 t=2445
qing kuang 	情况	c=5 d=2.02526 t=2399
qing qing 	轻轻	c=1 d=0.40657 t=2445
qing su 	情愫	c=1 d=0.0539337 t=2445
qing ting 	倾听	c=1 d=1 t=2336
qing wei 	轻微	c=1 d=0.463013 t=2445
qu 	去	c=2 d=1.00815 t=2342
qu xian 	曲线	c=1 d=0.0428521 t=2445
quan bu 	全部	c=1 d=0.0176857 t=2445
que 	却	c=1 d=1 t=1671
que shi 	确实	c=1 d=0.00398587 t=2445
qun ju 	群居	c=1 d=1 t=2180
ran er 	然而	c=2 d=1.68729 t=1856
ran hou 	然后	c=2 d=0.554627 t=2445
rang 	让	c=1 d=1 t=2254
rang ren 	让人	c=2 d=1.98511 t=2356
rang wo 	让我	c=4 d=0.0351545 t=2445
rang zi ji 	让自己	c=1 d=1 t=2375
re dai yu lin 	热带雨林	c=1 d=0.0702988 t=2445
ren 	人	c=4 d=0.496552 t=2445
ren he 	任何	c=5 d=0.243125 t=2445
ren lei 	人类	c=1 d=1 t=2178
ren min 	人民	c=2 d=1.84366 t=1652
ren tong gan 	认同感	c=1 d=1 t=1683
ren wo 	任我	c=1 d=0.0507928 t=2445
ren wu 	人物	c=1 d=0.937067 t=2445
ren you 	任由	c=1 d=0.00960953 t=2445
reng 	扔	c=2 d=0.425691 t=2445
ri chang 	日常	c=1 d=1 t=1547
rong qi 	容器	c=2 d=1.97045 t=1588
ru guo 	如果	c=4 d=0.658337 t=2445
ru he 	如何	c=6 d=2.82023 t=2445
ru jin 	如今	c=7 d=2.8178 t=2105
ru tong 	如同	c=2 d=0.548905 t=2445
san luan 	散乱	c=1 d=0.0142642 t=2445
san luo zai 	散落在	c=1 d=0.0160829 t=2445
sha 	刹	c=1 d=0.00557201 t=2445
sha fa 	沙发	c=2 d=0.508373 t=2445
sha fa shang 	沙发上	c=1 d=0.132655 t=2445
shan chu 	删除	c=1 d=1 t=2439
shan liang 	善良	c=3 d=1.96756 t=2212
shang 	上	c=7 d=0.390946 t=2445
shang hai 	伤害	c=3 d=0.356375 t=2445
shang le 	上了	c=1 d=0.062662 t=2445
shang mian 	上面	c=2 d=0.148068 t=2445
shang yi ci 	上一次	c=1 d=1 t=2086
she bei 	设备	c=1 d=1 t=1968
she hui 	社会	c=1 d=1 t=2110
she hui shang 	社会上	c=1 d=1 t=1627
she hui xing 	社会性	c=1 d=1 t=2183
she ji 	涉及	c=1 d=1 t=1332
shen 	深	c=1 d=0.0987662 t=2445
shen 	神	c=1 d=0.0102037 t=2445
shen bian 	身边	c=2 d=0.382893 t=2445
shen hong 	深红	c=0 d=0.00972957 t=2445
shen hong de 	深红的	c=1 d=0.0977834 t=2445
shen hou 	身后	c=1 d=0.00425356 t=2445
shen luo 	神罗	c=1 d=1 t=2383
shen me 	什么	c=12 d=0.513614 t=2445
shen me shi 	什么是	c=2 d=1.04783 t=2430
shen me shi le 	什么事了	c=1 d=0.0116203 t=2445
shen pang 	身旁	c=1 d=0.965605 t=2445
shen shang 	身上	c=3 d=0.45482 t=2445
shen shou 	深受	c=1 d=1 t=1603
shen ti 	身体	c=8 d=0.155078 t=2445
shen zhi 	甚至	c=1 d=1 t=1207
shen zi 	身子	c=1 d=0.0270518 t=2445
sheng 	声	c=0 d=0.000400585 t=2445
sheng xia 	剩下	c=1 d=0.00835412 t=2445
sheng yin 	声音	c=1 d=0.00822975 t=2445
shi 	事	c=1 d=0.025223 t=2445
shi 	是	c=32 d=2.71756 t=2445
shi biao zhun 	是标准	c=1 d=0.115903 t=2445
shi dang 	适当	c=1 d=1 t=1530
shi duo shao 	是多少	c=1 d=1 t=1193
shi fen 	十分	c=2 d=0.267207 t=2445
shi jian 	时间	c=5 d=1.30107 t=2445
shi jiao 	视角	c=1 d=0.0439369 t=2445
shi jie 	世界	c=2 d=0.0409994 t=2445
shi qi 	时期	c=2 d=1.9802 t=1749
shi qing 	事情	c=2 d=1.15259 t=1871
shi qu 	失去	c=3 d=0.634467 t=2445
shi ren 	使人	c=1 d=1 t=2351
shi sha 	是啥	c=1 d=1 t=1391
shi tu 	试图	c=3 d=0.343039 t=2445
shi wang 	失望	c=1 d=1 t=2317
shi wo 	是我	c=1 d=1 t=1851
shi wo de 	是我的	c=1 d=1 t=1584
shi xian 	视线	c=1 d=0.339596 t=2445
shi yong 	使用	c=5 d=1.95149 t=2441
shi zai shi 	实在是	c=1 d=1 t=1684
shi zhen 	失真	c=1 d=0.818731 t=2445
shi zhi he mu zhi 	食指和拇指	c=1 d=0.412714 t=2445
shi zhong 	始终	c=4 d=0.2726 t=2445
shou 	手	c=3 d=0.436187 t=2445
shou dao 	受到	c=2 d=0.00748391 t=2445
shou dao 	收到	c=1 d=1 t=1298
shou dong 	手动	c=1 d=1 t=2419
shou ji 	手机	c=2 d=0.97531 t=2445
shou ru 	收入	c=7 d=3.03901 t=1497
shou ti bao 	手提包	c=2 d=0.405088 t=2445
shou wan 	手腕	c=1 d=0.0109436 t=2445
shou xian 	首先	c=1 d=1 t=2321
shou zhang 	手掌	c=2 d=0.89106 t=2445
shou zi 	瘦子	c=6 d=1.91658 t=2445
shu 	梳	c=1 d=0.0177743 t=2445
shu ju 	数据	c=4 d=1.79213 t=1991
shu ju bao 	数据包	c=3 d=2.76932 t=1988
shu mi 	数米	c=1 d=0.00594622 t=2445
shu zhi 	树枝	c=1 d=0.071719 t=2445
shuai dao 	摔倒	c=2 d=0.0140035 t=2445
shuang shou 	双手	c=8 d=1.62973 t=2445
shuang shuang 	双双	c=1 d=0.00565622 t=2445
shuang xiang 	双向	c=1 d=1 t=2058
shuang yan 	双眼	c=4 d=1.13186 t=2445
shui 	睡	c=1 d=0.290835 t=2445
shui 	谁	c=2 d=0.408898 t=2445
shui jian le 	谁见了	c=1 d=0.559898 t=2445
shui jiao 	睡觉	c=2 d=0.457021 t=2445
shui zhao 	睡着	c=1 d=0.0599047 t=2445
shui zhao le 	睡着了	c=1 d=0.263158 t=2445
shun 	瞬	c=0 d=0.00209629 t=2445
shun jian 	瞬间	c=1 d=0.00491728 t=2445
shun zhe 	顺着	c=1 d=0.425283 t=2445
shuo 	说	c=6 d=1.5923 t=2445
shuo qi 	说起	c=1 d=1 t=1125
si hu 	似乎	c=3 d=0.219874 t=2445
si kao 	思考	c=4 d=0.302408 t=2445
song kua kua 	松垮垮	c=1 d=0.0413782 t=2445
su ma 	酥麻	c=1 d=0.0149956 t=2445
sui hou 	随后	c=1 d=0.0133665 t=2445
sui ran 	虽然	c=2 d=0.0125548 t=2445
sui zhe 	随着	c=3 d=1.05011 t=2308
sui zhi 	随之	c=1 d=0.0368832 t=2445
suo 	所	c=2 d=0.00419023 t=2445
suo xing 	所幸	c=1 d=0.0071546 t=2445
suo yi 	所以	c=2 d=1.26316 t=1434
suo you 	所有	c=6 d=0.0414066 t=2445
ta 	他	c=6 d=2.22234 t=2445
ta 	她	c=9 d=0.65073 t=2445
ta 	它	c=2 d=1.05931 t=1957
ta de 	他的	c=1 d=0.628135 t=2445
ta guo 	他国	c=1 d=1 t=1616
ta men 	他们	c=5 d=1.5819 t=2445
ta ren 	他人	c=1 d=1 t=2234
ta ye 	他也	c=1 d=1 t=1458
ta zheng ge ren 	他整个人	c=1 d=0.744532 t=2445
ta zu 	他族	c=2 d=1.94649 t=1674
tai du 	态度	c=1 d=1 t=2229
tai jiu 	太久	c=1 d=0.292293 t=2445
tai le 	抬了	c=1 d=0.400517 t=2445
tang huang 	堂皇	c=0 d=0.00605068 t=2445
tang lao ya 	唐老鸭	c=1 d=0.927743 t=2445
tang zai 	躺在	c=1 d=0.00609675 t=2445
tao bu kai 	逃不开	c=1 d=1 t=1886
tao yan 	讨厌	c=2 d=1.85214 t=2144
te bie 	特别	c=1 d=1 t=1462
te li du xing 	特立独行	c=1 d=1 t=1701
te li du xing de ren 	特立独行的人	c=3 d=2.86993 t=1718
ti ji 	体积	c=1 d=1 t=1536
ti xian 	体现	c=1 d=1 t=2214
tian gou 	舔狗	c=1 d=1 t=2125
tian hua ban 	天花板	c=1 d=0.075774 t=2445
tian kong 	天空	c=1 d=0.0107269 t=2445
tian ling gai 	天灵盖	c=1 d=0.055299 t=2445
tiao dou 	挑逗	c=1 d=0.0223708 t=2445
tie zai 	贴在	c=1 d=0.0804596 t=2445
ting dao le 	听到了	c=1 d=0.00400585 t=2445
ting qi 	挺起	c=1 d=0.00919416 t=2445
ting qi le 	挺起了	c=1 d=0.0409665 t=2445
ting xia 	停下	c=1 d=0.71177 t=2445
tong 	桶	c=2 d=1.956 t=1275
tong chu 	痛楚	c=1 d=0.00882647 t=2445
tong guo 	通过	c=4 d=1.98238 t=1995
tong ji 	统计	c=1 d=1 t=1439
tong ku 	痛苦	c=1 d=1 t=2319
tong shi 	同时	c=1 d=0.304221 t=2445
tong xin 	通信	c=1 d=1 t=1939
tong yi liang che 	同一辆车	c=2 d=1.956 t=2409
tou 	头	c=1 d=0.244143 t=2445
tou ding 	头顶	c=1 d=0.336216 t=2445
tou fa 	头发	c=1 d=0.0160027 t=2445
tou lu 	透露	c=1 d=0.101774 t=2445
tou yu 	投予	c=1 d=1 t=2340
tu an 	图案	c=1 d=0.0746459 t=2445
tu po 	突破	c=1 d=0.0550232 t=2445
tu qi 	凸起	c=1 d=0.0450492 t=2445
tu ran 	突然	c=4 d=1.07435 t=2445
tu ru qi lai 	突如其来	c=1 d=0.00481991 t=2445
tu tu 	图图	c=1 d=0.657047 t=2445
tu ya 	涂鸦	c=2 d=1.31031 t=2445
tu zi dong 	兔子洞	c=1 d=0.831104 t=2445
tuo xia 	脱下	c=1 d=0.218712 t=2445
wai mao 	外貌	c=1 d=0.752014 t=2445
wan can 	晚餐	c=1 d=1 t=1210
wan hua jing 	万华镜	c=1 d=0.839457 t=2445
wan mei 	完美	c=2 d=0.460768 t=2445
wan quan 	完全	c=3 d=0.810864 t=2445
wang 	王	c=1 d=1 t=2100
wang luo 	网络	c=7 d=5.66578 t=2018
wang luo shang 	网络上	c=1 d=1 t=2113
wang ye 	网页	c=1 d=1 t=1479
wei 	为	c=2 d=1.67032 t=1343
wei 	位	c=2 d=1.98511 t=2012
wei gui 	违规	c=1 d=1 t=2410
wei hu 	维护	c=1 d=1 t=2210
wei le 	为了	c=2 d=1.01209 t=2081
wei rao 	围绕	c=1 d=1 t=1873
wei shen me 	为什么	c=2 d=1.01777 t=2153
wei wei 	微微	c=3 d=0.37264 t=2445
wei yi 	唯一	c=2 d=0.0939606 t=2445
wei zhi 	位置	c=1 d=0.310367 t=2445
wen 	问	c=3 d=0.50159 t=2445
wen dang 	文档	c=1 d=1 t=1573
wen hua 	文化	c=2 d=1.91851 t=1678
wen jian 	文件	c=5 d=3.7778 t=1577
wen le 	问了	c=1 d=0.438235 t=2445
wen lu 	纹路	c=1 d=0.0692522 t=2445
wen ti 	问题	c=4 d=1.16443 t=2405
wen zhang 	文章	c=1 d=0.99005 t=2445
wo 	卧	c=1 d=0.245367 t=2445
wo 	我	c=47 d=5.66733 t=2445
wo cong lai 	我从来	c=1 d=0.0306538 t=2445
wo de 	我的	c=24 d=3.97705 t=2445
wo de shou 	我的手	c=1 d=0.0144798 t=2445
wo de yan jing 	我的眼睛	c=1 d=0.349938 t=2445
wo dou 	我都	c=1 d=0.0212797 t=2445
wo dui 	我对	c=2 d=1.19851 t=2042
wo dui xing 	我对性	c=1 d=1 t=1706
wo gao zhong 	我高中	c=1 d=1 t=1804
wo gen ben 	我根本	c=1 d=0.0298969 t=2445
wo guang dong 	我广东	c=1 d=0.494109 t=2445
wo hai neng 	我还能	c=1 d=1 t=1827
wo hen 	我很	c=2 d=1.28938 t=2111
wo jian 	我见	c=1 d=0.024234 t=2445
wo jiu 	我就	c=1 d=0.918512 t=2445
wo jue de 	我觉得	c=1 d=1 t=2137
wo ke yi 	我刻意	c=1 d=0.0359725 t=2445
wo liang 	我两	c=2 d=0.0134154 t=2445
wo men 	我们	c=11 d=1.57282 t=2445
wo men de qian 	我们的钱	c=1 d=1 t=1267
wo neng 	我能	c=1 d=0.130029 t=2445
wo shuo 	我说	c=1 d=0.499074 t=2445
wo xian zai 	我现在	c=1 d=1 t=2069
wo xiang 	我想	c=2 d=1.0133 t=2050
wo xun wen 	我询问	c=1 d=0.0116786 t=2445
wo ye 	我也	c=2 d=0.13247 t=2445
wo yi ge ren 	我一个人	c=1 d=0.128093 t=2445
wo yi jing 	我已经	c=3 d=0.927615 t=2445
wo yi zhi 	我一直	c=1 d=1 t=2022
wo you 	我有	c=1 d=1 t=1831
wo yu 	我与	c=2 d=1.08501 t=1719
wo zai 	我再	c=1 d=0.272532 t=2445
wo zai 	我在	c=1 d=1 t=1724
wo zhe 	握着	c=1 d=0.00382958 t=2445
wo zhi bu guo 	我只不过	c=1 d=1 t=2074
wo zhu 	握住	c=1 d=0.394554 t=2445
wo zi ji 	我自己	c=2 d=1.16447 t=2076
wu bi 	无比	c=1 d=1 t=1681
wu cha 	无差	c=1 d=0.67368 t=2445
wu che 	无车	c=1 d=1 t=2385
wu che pai 	无车牌	c=3 d=2.58146 t=2444
wu fa 	无法	c=2 d=1.44264 t=1589
wu fei 	无非	c=1 d=1 t=2164
wu lun 	无论	c=5 d=0.734061 t=2445
wu nao 	无脑	c=1 d=1 t=1655
xi huan 	喜欢	c=1 d=1 t=2361
xi lai 	袭来	c=1 d=0.256661 t=2445
xi te le 	希特勒	c=1 d=0.774916 t=2445
xia 	下	c=1 d=0.0471227 t=2445
xia ban 	下班	c=1 d=1 t=2411
xia qu 	下去	c=1 d=1 t=2257
xian 	先	c=2 d=0.217621 t=2445
xian de 	显得	c=1 d=1 t=1646
xian zai 	现在	c=2 d=1.16613 t=1799
xiang 	想	c=2 d=0.161398 t=2445
xiang cha 	相差	c=1 d=1 t=1785
xiang dang 	相当	c=2 d=1.76721 t=1905
xiang dao 	想到	c=1 d=0.644036 t=2445
xiang fa 	想法	c=2 d=1.23931 t=2334
xiang ge 	相隔	c=1 d=0.142987 t=2445
xiang guan 	相关	c=1 d=1 t=1576
xiang hu 	相互	c=1 d=0.0126512 t=2445
xiang jia 	相加	c=1 d=1 t=1342
xiang lei si 	相类似	c=1 d=1 t=1729
xiang mai 	想买	c=1 d=1 t=1189
xiang mu jing li 	项目经理	c=1 d=1 t=1897
xiang qi 	想起	c=1 d=1 t=2152
xiang shi 	像是	c=1 d=0.0792617 t=2445
xiang xiang 	想想	c=1 d=1 t=1218
xiao 	小	c=1 d=1 t=2196
xiao chou 	小丑	c=1 d=1 t=2126
xiao fei 	消费	c=4 d=2.07614 t=1548
xiao fei le 	消费了	c=3 d=2.14816 t=1360
xiao shi le 	消失了	c=1 d=0.00831246 t=2445
xiao xue 	小学	c=1 d=1 t=1833
xie 	斜	c=1 d=0.0137736 t=2445
xie chu 	写出	c=1 d=1 t=2075
xie chu le 	写出了	c=1 d=1 t=2036
xie dao 	写到	c=1 d=1 t=2093
xie yi 	协议	c=7 d=4.29783 t=2016
xin ji ru fen 	心急如焚	c=1 d=1 t=2357
xin xi 	信息	c=1 d=1 t=1517
xin xian 	心弦	c=1 d=1 t=2381
xin yong ka 	信用卡	c=1 d=1 t=1313
xing 	性	c=0 d=0.1 t=1705
xing bie 	性别	c=1 d=1 t=2115
xing cheng 	形成	c=1 d=1 t=1321
xing ge 	性格	c=1 d=1 t=2345
xing le 	醒了	c=1 d=0.375311 t=2445
xing shi 	行使	c=1 d=1 t=2432
xing shi zhe 	行驶着	c=1 d=0.00392653 t=2445
xing yun 	幸运	c=1 d=0.00657159 t=2445
xing zhuang 	形状	c=1 d=0.045502 t=2445
xiong 	胸	c=1 d=0.0464212 t=2445
xiong bu 	胸部	c=1 d=0.0424257 t=2445
xiong di 	兄弟	c=1 d=0.442639 t=2445
xiu gai 	修改	c=1 d=1 t=1594
xu duo 	许多	c=1 d=0.687289 t=2445
xu ni 	虚拟	c=1 d=1 t=1451
xu wei 	虚伪	c=2 d=1.08333 t=2146
xu yao 	需要	c=1 d=1 t=1255
xuan li 	绚丽	c=1 d=0.0685632 t=2445
xuan ze 	选择	c=1 d=1 t=1490
xue bai 	雪白	c=1 d=0.00615802 t=2445
xue xiao 	学校	c=2 d=1.99005 t=1845
xun wen 	询问	c=0 d=0.00116203 t=2445
ya 	压	c=1 d=0.00970611 t=2445
ya zai 	压在	c=1 d=0.00647375 t=2445
yan 	眼	c=1 d=0.0338776 t=2445
yan chang 	延长	c=1 d=1 t=1509
yan jing 	眼睛	c=6 d=0.994538 t=2445
yan kan 	眼看	c=1 d=0.00543443 t=2445
yan shen 	眼神	c=3 d=0.0588432 t=2445
yang 	样	c=1 d=1 t=2034
yang mian 	仰面	c=1 d=0.00606634 t=2445
yang pi zhi 	羊皮纸	c=1 d=0.0800583 t=2445
yang zi 	样子	c=1 d=0.591555 t=2445
yao 	腰	c=2 d=0.0523924 t=2445
yao 	要	c=6 d=1.05226 t=2322
yao bai 	摇摆	c=1 d=0.00540733 t=2445
yao hao 	要好	c=2 d=1.21225 t=2163
yao qiu 	要求	c=2 d=1.32465 t=2304
yao shi 	要是	c=1 d=1 t=1824
ye 	也	c=16 d=0.870545 t=2445
ye 	夜	c=2 d=1.94176 t=2402
ye hen 	也很	c=0 d=0.1 t=2118
ye hen bu xi huan 	也很不喜欢	c=1 d=1 t=2119
ye hui 	也会	c=1 d=1 t=2307
ye jiu 	也就	c=1 d=1 t=1168
ye jiu zai 	也就在	c=1 d=0.167797 t=2445
ye neng 	也能	c=1 d=1 t=1802
ye shi 	也是	c=2 d=0.0731678 t=2445
ye yi jing 	也已经	c=0 d=0.1 t=1133
ye yi jing you 	也已经有	c=1 d=1 t=1134
ye you 	也有	c=3 d=1.41881 t=2092
ye zhi you 	也只有	c=1 d=1 t=1753
yi 	一	c=3 d=0.477695 t=2445
yi 	忆	c=1 d=1 t=2090
yi ban 	一般	c=3 d=0.848761 t=2445
yi bi 	一笔	c=1 d=1 t=1329
yi ci 	以此	c=2 d=1.93707 t=2245
yi da 	一大	c=0 d=0.00792617 t=2445
yi da zhang 	一大张	c=1 d=0.079659 t=2445
yi dian 	一点	c=3 d=0.102797 t=2445
yi dong 	一动	c=1 d=0.0109985 t=2445
yi dong 	移动	c=1 d=0.0330412 t=2445
yi dong bu dong 	一动不动	c=2 d=0.333521 t=2445
yi duan 	一端	c=1 d=0.0880368 t=2445
yi dun 	一顿	c=1 d=1 t=1213
yi dun fan 	一顿饭	c=1 d=1 t=1315
yi fen 	一份	c=1 d=1 t=2260
yi fu 	衣服	c=2 d=0.440885 t=2445
yi ge 	一个	c=22 d=2.63087 t=2445
yi ge ren 	一个人	c=2 d=0.262632 t=2445
yi huo 	疑惑	c=1 d=0.00444934 t=2445
yi ji 	以及	c=2 d=1.00266 t=2335
yi jian 	一件	c=1 d=0.0605068 t=2445
yi jian 	意见	c=1 d=1 t=2339
yi jing 	已经	c=6 d=0.776154 t=2445
yi ju 	一句	c=1 d=0.440432 t=2445
yi ju yi dong 	一举一动	c=2 d=1.41301 t=2445
yi kan 	一看	c=1 d=0.960789 t=2445
yi lai 	依赖	c=2 d=1.97045 t=2225
yi liang ge 	一两个	c=1 d=1 t=1754
yi mian 	一面	c=1 d=0.0765355 t=2445
yi mu yi yang 	一模一样	c=1 d=0.782705 t=2445
yi nian 	一年	c=1 d=1 t=1772
yi pang 	一旁	c=2 d=0.207192 t=2445
yi qi 	一起	c=1 d=1 t=1839
yi qian 	以前	c=4 d=1.21087 t=2095
yi qie 	一切	c=1 d=0.00364281 t=2445
yi ran 	依然	c=4 d=0.502647 t=2445
yi sheng 	一声	c=1 d=0.00990218 t=2445
yi shi 	意识	c=1 d=0.00869506 t=2445
yi shi dao 	意识到	c=1 d=0.0301974 t=2445
yi shun jian 	一瞬间	c=1 d=0.810584 t=2445
yi si 	一丝	c=4 d=0.120602 t=2445
yi si yi hao 	一丝一毫	c=1 d=0.0327124 t=2445
yi tao 	一套	c=2 d=0.212193 t=2445
yi tuan 	一团	c=1 d=0.0295994 t=2445
yi tui 	一腿	c=1 d=0.0273237 t=2445
yi xia 	一下	c=2 d=0.140163 t=2445
yi xia 	以下	c=2 d=1.34473 t=1583
yi xie 	一些	c=1 d=1 t=1461
yi zhang 	一张	c=1 d=0.122456 t=2445
yi zhen 	一阵	c=3 d=0.115362 t=2445
yi zheng mian 	一整面	c=1 d=0.0629761 t=2445
yi zhi 	一直	c=9 d=3.10001 t=2253
yi zu 	一组	c=1 d=1 t=1919
yin qi 	引起	c=1 d=0.0113902 t=2445
yin ru 	引入	c=3 d=2.88052 t=1560
yin yue 	隐约	c=1 d=0.0191587 t=2445
ying gai 	应该	c=1 d=0.0100017 t=2445
ying xiang 	影响	c=2 d=1.6157 t=1705
ying yao 	硬要	c=0 d=0.1 t=1781
ying yao shuo 	硬要说	c=1 d=1 t=1782
ying yong 	应用	c=1 d=1 t=2443
yong 	用	c=2 d=0.420335 t=2445
yong lai 	用来	c=1 d=1 t=1393
yong wei 	用为	c=1 d=0.0668703 t=2445
yong yu 	用于	c=2 d=1.01859 t=1975
yong yuan 	永远	c=1 d=0.0267827 t=2445
you 	又	c=3 d=0.526422 t=2445
you 	右	c=2 d=0.0256071 t=2445
you 	有	c=8 d=0.971297 t=2445
