2026-01-20 04:29:21,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.19-收益发放,不计收支,1.52,余额宝,交易成功,20260120362369799521	,	,,
2026-01-19 21:18:16,餐饮美食,钱大妈,qin***@qdama.cn,冬菇肉滑280g等2件商品,支出,15.80,花呗,交易成功,2026011922001453521437880797	,983842354341388288	,,
2026-01-19 18:18:16,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-19 18:02:40搭乘广州地铁,支出,3.00,花呗,交易成功,2026011922001453521437516169	,2026011918181599P383NOCT	,,
2026-01-19 11:34:39,投资理财,余额宝,jry***@xqfunds.com,转账收款到余额宝,不计收支,38.00,账户余额,交易成功,20260119019130125000520090997575	,20260119200040011100770037810283	,,
2026-01-19 11:34:33,转账红包,mikefooo,139******00,倒？咖啡,收入,38.00,账户余额,交易成功,20260119200040011100770037810283	,	,,
2026-01-19 08:17:35,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-19 07:58:23搭乘广州地铁,支出,3.00,花呗,交易成功,2026011922001453521434714922	,20260119081734991809NOCT	,,
2026-01-19 04:24:26,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.18-收益发放,不计收支,1.51,余额宝,交易成功,20260119357035041521	,	,,
2026-01-18 03:43:14,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.17-收益发放,不计收支,1.51,余额宝,交易成功,20260118347647941521	,	,,
2026-01-17 21:00:32,转账红包,mikefooo(**杰),139******00,Transfer,支出,96.50,余额宝,交易成功,20260117200040011100520023089643	,	,,
2026-01-17 03:37:32,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.16-收益发放,不计收支,1.51,余额宝,交易成功,20260117344979722521	,	,,
2026-01-16 20:15:16,文化休闲,全天靓粥万景豪园店,/,全天靓粥万景豪园店,支出,16.00,花呗,交易成功,2026011623001453521425548843	,3012660000481800007895083960562439	,,
2026-01-16 18:57:33,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-16 18:38:59搭乘广州地铁,支出,3.00,花呗,交易成功,2026011622001453521424021250	,20260116185732115h656NOCT	,,
2026-01-16 09:22:56,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260116001080012204520094758158	,	,,
2026-01-16 08:17:13,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-16 07:59:00搭乘广州地铁,支出,3.00,花呗,交易成功,2026011622001453521423025237	,20260116081712129Y522NOCT	,,
2026-01-16 04:14:25,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.15-收益发放,不计收支,1.51,余额宝,交易成功,20260116338801708521	,	,,
2026-01-15 18:13:32,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-15 17:58:53搭乘广州地铁,支出,3.00,花呗,交易成功,2026011522001453521423247620	,20260115181331133b167NOCT	,,
2026-01-15 10:24:56,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260115001080012204520091962098	,	,,
2026-01-15 08:15:17,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-15 07:56:49搭乘广州地铁,支出,3.00,花呗,交易成功,2026011522001453521419325589	,20260115081517143V598NOCT	,,
2026-01-15 03:26:22,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.14-收益发放,不计收支,1.30,余额宝,交易成功,20260115331889458521	,	,,
2026-01-14 18:10:53,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-14 17:54:56搭乘广州地铁,支出,3.00,花呗,交易成功,2026011422001453521419256646	,20260114181053178U962NOCT	,,
2026-01-14 12:23:00,投资理财,余额宝,jry***@xqfunds.com,转账收款到余额宝,不计收支,113.40,账户余额,交易成功,20260114019130125000520086965437	,20260114200040011100770035495634	,,
2026-01-14 12:22:54,转账红包,mikefooo,139******00,有多不用找了，留给你买袋给嫂子用,收入,113.40,账户余额,交易成功,20260114200040011100770035495634	,	,,
2026-01-14 12:09:02,餐饮美食,中华包点广州大塘大街店,/,早三鲜物资大厦店,支出,13.00,花呗,交易成功,2026011422001453521414170876	,7312660000482200007895351891588496	,,
2026-01-14 10:22:58,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260114001080012204520089013004	,	,,
2026-01-14 08:39:16,投资理财,余额宝,jry***@xqfunds.com,余额宝-单次转入,不计收支,6616.98,光大银行储蓄卡(1027),交易成功,20260114019130100010520086395590	,LC2026011408391620885225664535278977	,,
2026-01-14 04:09:42,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.13-收益发放,不计收支,1.30,余额宝,交易成功,20260114326253523521	,	,,
2026-01-13 17:48:19,餐饮美食,芬记美食,/,芬记小厨,支出,18.00,花呗,交易成功,2026011322001453521412788917	,3112660000482200007895083946127115	,,
2026-01-13 10:23:12,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260113001080012204520085970328	,	,,
2026-01-13 08:15:02,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-13 07:56:25搭乘广州地铁,支出,3.00,花呗,交易成功,2026011322001453521411039172	,20260113081501135P983NOCT	,,
2026-01-13 03:50:22,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.12-收益发放,不计收支,1.31,余额宝,交易成功,20260113319520403521	,	,,
2026-01-12 18:10:43,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-12 17:54:10搭乘广州地铁,支出,3.00,花呗,交易成功,2026011222001453521411737050	,20260112181042141s095NOCT	,,
2026-01-12 17:01:27,其他,睿浩诺信息,/,2026011217010658684,支出,340.00,花呗,交易成功,2026011223001453521409517276	,54126600004823000002242601126128773515364	,,
2026-01-12 10:32:31,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-广发纳斯达克100ETF联接(QDII)A-买入,不计收支,10.00,余额宝,交易成功,20260112001080012204520082949538	,	,,
2026-01-12 08:06:03,交通出行,广州地铁集团有限公司,yua***@gzmtr.com,2026-01-12 07:48:43搭乘广州地铁,支出,3.00,花呗,交易成功,2026011222001453521406610552	,20260112080602178g469NOCT	,,
2026-01-12 03:44:12,投资理财,兴全基金管理有限公司,/,余额宝-2026.01.11-收益发放,不计收支,1.32,余额宝,交易成功,20260112309314595521	,	,,
