# Rime user dictionary
#@/db_name	rime_ice_private
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3141
#@/user_id	MacOS
a 	啊	c=3 d=2.66065 t=2748
he 	呵	c=1 d=0.00980366 t=3141
he 	和	c=20 d=1.80071 t=3141
he feng 	和风	c=1 d=2.06045e-05 t=3141
he ge 	和歌	c=1 d=1 t=2894
he hu 	呵护	c=1 d=1.06495e-05 t=3141
he ren 	和人	c=1 d=0.216536 t=3141
he se 	褐色	c=1 d=0.0992613 t=3141
he wei jian 	何伟健	c=1 d=3.83023e-05 t=3141
he wo 	和我	c=1 d=0.0277367 t=3141
he yue 	和月	c=1 d=0.0122161 t=3141
he zhong xian 	何仲贤	c=1 d=0.56836 t=3141
hei 	黑	c=0 d=1.92115e-06 t=3141
hei bai 	黑白	c=1 d=2.17696e-05 t=3141
hei bai jian bian 	黑白渐变	c=1 d=1.88311e-05 t=3141
hei jiao 	黑胶	c=3 d=7.99327e-05 t=3141
hei jiao ji 	黑胶机	c=1 d=2.25449e-05 t=3141
hei quan xi 	黑全息	c=1 d=1.93078e-05 t=3141
hei se 	黑色	c=1 d=0.690734 t=3141
hen 	很	c=2 d=0.418952 t=3141
hen duo 	很多	c=5 d=1.20707 t=3141
hen ke neng 	很可能	c=1 d=1 t=2779
hen ming xian 	很明显	c=1 d=0.00606634 t=3141
hen xi huan 	很喜欢	c=1 d=0.0209629 t=3141
hen zi hao 	很自豪	c=1 d=0.04573 t=3141
heng 	横	c=1 d=0.00585769 t=3141
hong bao 	红包	c=2 d=0.0327605 t=3141
hong hong lie lie 	轰轰烈烈	c=1 d=8.12959e-06 t=3141
hong huang 	红黄	c=1 d=0.0645703 t=3141
hong se 	红色	c=2 d=0.16957 t=3141
hong tang 	红糖	c=1 d=1.95996e-05 t=3141
hou 	后	c=3 d=1.10101 t=3141
hou mian 	后面	c=1 d=0.0108347 t=3141
hou xu 	后续	c=1 d=1 t=2768
hu chuan 	湖川	c=1 d=1.72966e-05 t=3141
hu lian wang 	互联网	c=5 d=0.397302 t=3141
hu xian 	弧线	c=1 d=0.537944 t=3141
hu xiang 	互相	c=1 d=0.254107 t=3141
hu zhao 	护照	c=2 d=1.94176 t=2711
hua 	化	c=1 d=0.00431784 t=3141
hua bei 	花呗	c=3 d=2.98506 t=2464
hua chu 	滑出	c=1 d=0.00591656 t=3141
hua ji 	画集	c=2 d=3.76539e-05 t=3141
hua ji ke xiao 	滑稽可笑	c=1 d=0.00218749 t=3141
hua yu 	话语	c=1 d=0.194952 t=3141
huai nian 	怀念	c=1 d=0.00222055 t=3141
huai yi 	怀疑	c=1 d=0.0174224 t=3141
huan 	换	c=1 d=0.2852 t=3141
huan 	缓	c=2 d=0.0190174 t=3141
huan cheng 	换成	c=1 d=1 t=3046
huan cun 	缓存	c=1 d=1 t=2557
huan huan 	缓缓	c=1 d=0.313486 t=3141
huan jie 	环节	c=1 d=7.03228e-06 t=3141
huan jing 	环境	c=1 d=0.00697795 t=3141
huan xiang 	幻想	c=1 d=0.467666 t=3141
huang dong 	晃动	c=1 d=0.00433948 t=3141
huang le shen 	慌了神	c=1 d=0.00494193 t=3141
huang mo 	荒漠	c=1 d=0.00621991 t=3141
huang se 	黄色	c=2 d=0.143897 t=3141
hui 	会	c=4 d=0.253307 t=3141
hui 	回	c=5 d=2.87661 t=2986
hui fu le 	恢复了	c=1 d=0.0146253 t=3141
hui guang guan 	辉光管	c=1 d=1.38809e-05 t=3141
hui guo shen lai 	回过神来	c=1 d=0.0118551 t=3141
hui lai 	回来	c=4 d=1.74044 t=2946
hui lai le 	回来了	c=1 d=0.00878245 t=3141
hun 	魂	c=1 d=3.02807e-05 t=3141
huo 	或	c=3 d=0.84455 t=3141
huo de 	获得	c=1 d=0.878095 t=3141
huo le 	活了	c=1 d=0.00538036 t=3141
huo qu 	获取	c=1 d=1 t=2551
huo shi 	伙食	c=1 d=0.00151855 t=3141
huo zhe 	或者	c=2 d=0.557173 t=3141
ji 	机	c=3 d=0.594521 t=3141
ji 	集	c=1 d=2.63248e-05 t=3141
ji ben 	基本	c=3 d=0.67032 t=3141
ji bu 	既不	c=1 d=0.951229 t=3141
ji chang 	机场	c=3 d=2.24303 t=2822
ji chu 	基础	c=1 d=0.0675424 t=3141
ji dong zhan shi gao da 	机动战士高达	c=1 d=1.48873e-05 t=3141
ji ge 	几个	c=3 d=0.00825022 t=3141
ji hua 	计划	c=1 d=1 t=2858
ji huo 	激活	c=1 d=1 t=3067
ji jie 	季节	c=1 d=2.23206e-05 t=3141
ji jin 	基金	c=1 d=0.0116203 t=3141
ji jing 	寂静	c=1 d=0.00856561 t=3141
ji lei 	积累	c=1 d=0.0303487 t=3141
ji lu 	记录	c=5 d=0.859921 t=3141
ji nian qian 	几年前	c=1 d=0.045275 t=3141
ji piao 	机票	c=3 d=1.3796 t=2957
ji shi 	即使	c=1 d=0.0356146 t=3141
ji suan ji 	计算机	c=1 d=0.060205 t=3141
ji weng hao 	吉翁号	c=1 d=1.58079e-05 t=3141
ji xian yun dong 	极限运动	c=1 d=2.69912e-05 t=3141
ji xu 	继续	c=1 d=0.319819 t=3141
ji yu 	给予	c=1 d=2.38196e-05 t=3141
ji zhang 	记账	c=12 d=0.0539634 t=3141
ji zhang jiu shi 	记账就是	c=1 d=0.00419023 t=3141
jia 	假	c=2 d=1.49907 t=2991
jia ban 	加班	c=1 d=0.856415 t=3141
jia ge 	价格	c=1 d=0.292293 t=3141
jia ju 	家具	c=1 d=0.100761 t=3141
jia kuai 	加快	c=1 d=1 t=2769
jia mian qi shi 	假面骑士	c=1 d=1.47392e-05 t=3141
jia ru 	加入	c=1 d=0.00296761 t=3141
jia zhuang 	假装	c=1 d=0.321422 t=3141
jian 	减	c=1 d=1 t=3002
jian 	间	c=3 d=0.250324 t=3141
jian bian 	渐变	c=0 d=1.87372e-06 t=3141
jian ce dao 	检测到	c=1 d=4.38384e-05 t=3141
jian cha 	检查	c=1 d=1 t=2676
jian fei yao 	减肥药	c=1 d=1 t=3000
jian jie 	简介	c=1 d=0.0858632 t=3141
jian jie 	简洁	c=1 d=0.0862936 t=3141
jian kong 	监控	c=1 d=0.965605 t=3141
jian le 	见了	c=0 d=0.0557106 t=3141
jian li 	简历	c=1 d=6.29975e-06 t=3141
jian shao 	减少	c=1 d=0.0105145 t=3141
jian shen 	健身	c=1 d=0.737123 t=3141
jian yi 	建议	c=1 d=1 t=2651
jian yi 	简易	c=1 d=1 t=3089
jiang 	将	c=2 d=0.186122 t=3141
jiang di 	降低	c=2 d=0.600954 t=3141
jiang di qi wang 	降低期望	c=1 d=0.551563 t=3141
jiang hu 	糨糊	c=1 d=0.0297478 t=3141
jiang qi 	将其	c=1 d=0.106992 t=3141
jiao 	脚	c=1 d=0.199888 t=3141
jiao ben 	脚本	c=2 d=1.91393 t=3052
jiao hu 	交互	c=1 d=0.0262523 t=3141
jiao shang 	叫上	c=1 d=1 t=2645
jiao wang 	交往	c=2 d=0.628279 t=3141
jiao yu 	教育	c=1 d=0.0151463 t=3141
jiao zuo 	叫作	c=1 d=0.00247875 t=3141
jie bu jie shou 	接不接受	c=1 d=6.65595e-06 t=3141
jie chu 	接触	c=1 d=0.0163259 t=3141
jie jue 	解决	c=1 d=0.0137049 t=3141
jie mian 	界面	c=1 d=1 t=3102
jie shi 	结识	c=3 d=0.118847 t=3141
jie shi de 	结实的	c=1 d=0.0319048 t=3141
jie shou 	接受	c=1 d=0.355226 t=3141
jie shou zhe 	接收者	c=1 d=0.0982736 t=3141
jie wei 	结尾	c=1 d=0.00759701 t=3141
jie ya 	解压	c=2 d=1.9802 t=3064
jie yong 	借用	c=1 d=1 t=3025
jin 	今	c=1 d=0.00677172 t=3141
jin e 	金额	c=1 d=0.00524752 t=3141
jin fen 	金粉	c=1 d=1.54949e-05 t=3141
jin jin 	紧紧	c=1 d=0.00701293 t=3141
jin ru dao 	进入到	c=1 d=0.0031354 t=3141
jin ru le 	进入了	c=1 d=0.826959 t=3141
jin tian 	今天	c=1 d=0.00559994 t=3141
jin xing 	进行	c=4 d=1.42698 t=3141
jin zhang 	紧张	c=1 d=0.0317456 t=3141
jin zhou 	紧皱	c=1 d=0.0197421 t=3141
jing 	竟	c=1 d=0.202909 t=3141
jing 	靖	c=1 d=0.150318 t=3141
jing da xi suan 	精打细算	c=1 d=0.00166989 t=3141
jing du 	京都	c=2 d=1.94176 t=2653
jing gao 	警告	c=0 d=4.34022e-06 t=3141
jing gao jing gao 	警告警告	c=1 d=4.36198e-05 t=3141
jing guo 	经过	c=1 d=0.744532 t=3141
jing kong 	惊恐	c=1 d=0.543351 t=3141
jing li 	经历	c=1 d=9.49258e-06 t=3141
jing li 	经理	c=1 d=0.0652193 t=3141
jing shen 	精神	c=1 d=0.67032 t=3141
jing xiang 	镜像	c=2 d=1.80074 t=3141
jing xing 	惊醒	c=1 d=0.271173 t=3141
jing zi 	镜子	c=1 d=1 t=2868
jiu 	就	c=10 d=1.40184 t=3141
jiu bu shi 	就不是	c=1 d=1 t=2508
jiu dian 	酒店	c=2 d=0.151687 t=3141
jiu hui 	就会	c=4 d=0.842634 t=3141
jiu hui gan shou dao 	就会感受到	c=1 d=0.29671 t=3141
jiu kan 	就看	c=2 d=1.37908 t=2828
jiu ke yi le 	就可以了	c=1 d=0.0120342 t=3141
jiu le 	久了	c=1 d=0.00543443 t=3141
jiu lian 	就连	c=1 d=0.0720785 t=3141
jiu ni 	就你	c=1 d=1 t=2873
jiu qu 	就去	c=1 d=1 t=2837
jiu shi 	就是	c=5 d=0.810299 t=3141
jiu xiang 	就像	c=1 d=0.0987662 t=3141
jiu yao 	就要	c=1 d=0.00548905 t=3141
jiu you ren 	就有人	c=1 d=0.615697 t=3141
jiu zai 	就在	c=6 d=0.489099 t=3141
jiu zhe me 	就这么	c=1 d=0.0125881 t=3141
ju gao lin xia 	居高临下	c=1 d=0.336216 t=3141
ju jiao 	聚焦	c=1 d=0.0120946 t=3141
ju jin 	距今	c=1 d=0.00141589 t=3141
ju ju 	聚聚	c=1 d=0.0349094 t=3141
ju li 	距离	c=1 d=0.147342 t=3141
ju lie 	剧烈	c=1 d=0.00663763 t=3141
ju pa 	惧怕	c=1 d=0.0203434 t=3141
ju qi 	举起	c=2 d=1.44507 t=3141
ju ran 	居然	c=1 d=1 t=2688
ju ti 	具体	c=1 d=1 t=2961
jue ce 	决策	c=1 d=5.42225e-06 t=3141
jue da 	绝大	c=1 d=0.0564161 t=3141
jue de 	觉得	c=1 d=0.0258615 t=3141
jue ding 	决定	c=2 d=1.17289e-05 t=3141
jue dui 	绝对	c=1 d=0.00848038 t=3141
jun jie 	俊杰	c=0 d=1.09738e-06 t=3141
jun zhuang 	军装	c=1 d=0.767206 t=3141
ka 	卡	c=0 d=0.1 t=2970
ka dai 	卡带	c=1 d=2.71265e-05 t=3141
kai 	开	c=1 d=0.865022 t=3141
kai fa 	开发	c=2 d=0.0726635 t=3141
kai fa zhe 	开发者	c=1 d=4.21195e-05 t=3141
kai kou 	开口	c=1 d=0.00923273 t=3141
kai ming 	开明	c=1 d=0.18452 t=3141
kai qi 	开启	c=1 d=1 t=3068
kai shi 	开始	c=14 d=2.36781 t=3141
kai xin 	开心	c=1 d=0.279431 t=3141
kai yuan 	开源	c=2 d=1.9802 t=3063
kan 	看	c=5 d=0.886159 t=3141
kan dao 	看到	c=5 d=0.554939 t=3141
kan fa 	看法	c=1 d=0.0250972 t=3141
kan jian 	看见	c=1 d=0.0104099 t=3141
kan lai 	看来	c=2 d=0.873802 t=3141
kan le 	看了	c=1 d=1 t=2812
kan qi lai 	看起来	c=1 d=0.57695 t=3141
kan xiang 	看向	c=1 d=0.307279 t=3141
kan zhe 	看着	c=2 d=0.938569 t=3141
kan zhe ta 	看着他	c=2 d=1.35133 t=3141
kan zhe wo 	看着我	c=2 d=0.400722 t=3141
kao bei 	拷贝	c=1 d=1 t=3028
kao shi 	考试	c=1 d=0.562705 t=3141
ke 	可	c=1 d=0.00139481 t=3141
ke dong 	可动	c=1 d=3.62329e-05 t=3141
ke fang 	客房	c=1 d=0.166127 t=3141
ke neng 	可能	c=1 d=0.0665368 t=3141
ke xue shang wang 	科学上网	c=1 d=1 t=2767
ke yi 	刻意	c=0 d=0.00357931 t=3141
ke yi 	可以	c=12 d=2.27095 t=3141
ken ding 	肯定	c=1 d=1 t=2647
kong jian 	空间	c=2 d=0.134885 t=3141
kong zhi 	控制	c=8 d=1.74066 t=3141
kou 	口	c=1 d=0.280832 t=3141
kou gan she zao 	口干舌燥	c=2 d=0.0935414 t=3141
kou hong 	口红	c=1 d=1.51123e-05 t=3141
ku nao 	苦恼	c=1 d=0.136014 t=3141
kua 	跨	c=2 d=0.0546481 t=3141
kuai 	块	c=2 d=0.00694872 t=3141
kuai le 	快乐	c=1 d=0.280832 t=3141
kuai pao lu 	快跑路	c=1 d=1 t=2988
kuan rong 	宽容	c=1 d=0.398519 t=3141
kuang re 	狂热	c=1 d=0.0194482 t=3141
kuang wei 	匡威	c=2 d=4.97509e-05 t=3141
kun chong 	昆虫	c=1 d=1 t=3053
kun yi 	困意	c=1 d=0.254107 t=3141
la qu 	拉取	c=1 d=0.882497 t=3141
lai 	来	c=7 d=1.18464 t=3141
lai bu ji 	来不及	c=1 d=1 t=2815
lai da 	来打	c=1 d=1 t=2691
lai dao le 	来到了	c=1 d=0.00336274 t=3141
lai kan 	来看	c=1 d=0.0441572 t=3141
lai le 	来了	c=1 d=0.0102549 t=3141
lai xie 	来写	c=1 d=0.763379 t=3141
lai yuan 	来源	c=1 d=0.00148848 t=3141
lai yuan yu 	来源于	c=1 d=0.00304273 t=3141
lan bai 	蓝白	c=2 d=5.59116e-05 t=3141
lan qiu chang 	篮球场	c=1 d=0.145876 t=3141
lao ban 	老板	c=3 d=0.337682 t=3141
lao da 	老大	c=1 d=1 t=3141
lao jiu 	老旧	c=1 d=0.0788664 t=3141
lao ren 	老人	c=1 d=0.585669 t=3141
lao shi ren 	老实人	c=1 d=2.76745e-05 t=3141
le 	了	c=33 d=3.96786 t=3141
le ba 	了吧	c=1 d=1 t=2595
le yi 	乐意	c=1 d=1 t=2649
lei si 	类似	c=1 d=1 t=3021
li 	丽	c=0 d=0.00605068 t=3141
li 	里	c=10 d=1.75774 t=3141
li bu kai 	离不开	c=1 d=0.310367 t=3141
li he 	礼盒	c=2 d=3.41527e-05 t=3141
li jie 	理解	c=1 d=0.00269866 t=3141
li kai le 	离开了	c=1 d=0.125556 t=3141
li mi 	厘米	c=1 d=1 t=2754
li mian 	里面	c=1 d=0.224249 t=3141
li ru 	例如	c=4 d=0.0451714 t=3141
li shi 	历史	c=2 d=0.00283234 t=3141
li wu 	礼物	c=1 d=0.603506 t=3141
li wu dai 	礼物袋	c=1 d=1.95019e-05 t=3141
li wu he 	礼物盒	c=1 d=1.99956e-05 t=3141
li zhi 	理智	c=1 d=0.637628 t=3141
lian 	脸	c=3 d=1.59017 t=3141
lian 	连	c=2 d=0.162259 t=3141
lian ai 	恋爱	c=1 d=0.16696 t=3141
lian jie 	连接	c=2 d=0.802519 t=3141
lian jie 	链接	c=1 d=1 t=2784
lian ju 	链锯	c=1 d=1 t=3004
lian shang 	脸上	c=5 d=1.3223 t=3141
lian xi 	联系	c=5 d=0.198555 t=3141
liang 	量	c=0 d=0.1 t=2752
liang bian 	两边	c=1 d=0.511709 t=3141
liang dian 	两点	c=1 d=0.318224 t=3141
liang duan 	两端	c=1 d=0.142274 t=3141
liang ge 	两个	c=4 d=0.196839 t=3141
liang ge ren 	两个人	c=1 d=1.04386e-05 t=3141
liang ren 	两人	c=1 d=0.0205478 t=3141
liang se 	两色	c=1 d=0.064894 t=3141
liang tao 	两套	c=1 d=0.119433 t=3141
liang tou 	两头	c=2 d=1.47473 t=2746
liang ze 	两则	c=1 d=1 t=3141
liao dong 	撩动	c=1 d=0.722527 t=3141
liao tian 	聊天	c=1 d=1 t=3013
ling 	另	c=1 d=0.172907 t=3141
ling 	零	c=1 d=0.00406639 t=3141
ling dian 	零点	c=1 d=0.932394 t=3141
ling hua qian 	零花钱	c=1 d=0.00158052 t=3141
ling luan 	凌乱	c=1 d=0.0140519 t=3141
ling yi duan 	另一端	c=1 d=0.0893673 t=3141
ling zhi 	凌志	c=0 d=2.85173e-06 t=3141
ling zhi chang peng 	凌志敞篷	c=1 d=2.86602e-05 t=3141
liu 	六	c=1 d=0.585669 t=3141
liu 	流	c=1 d=1 t=2888
liu dong 	流动	c=1 d=0.00290884 t=3141
liu lan 	浏览	c=1 d=1 t=2731
liu shui zhang 	流水账	c=1 d=0.00249118 t=3141
long men jia 	龙门架	c=1 d=0.941765 t=3141
lu 	卢	c=0 d=1.09738e-06 t=3141
lu 	陆	c=1 d=3.73566e-05 t=3141
lu jun jie 	卢俊杰	c=2 d=3.46115e-05 t=3141
lu pang 	路旁	c=1 d=0.00577048 t=3141
lu xu 	陆续	c=0 d=2.23206e-06 t=3141
lu xu si qu 	陆续死去	c=1 d=2.24325e-05 t=3141
lu yong 	录用	c=1 d=6.39496e-06 t=3141
lu you 	路由	c=3 d=0.295247 t=3141
lu you qi 	路由器	c=4 d=0.395916 t=3141
lu zong 	卢总	c=4 d=2.62982 t=2917
luan 	乱	c=1 d=0.00960953 t=3141
lun jiao 	伦教	c=1 d=1 t=2450
luo 	落	c=1 d=1 t=2488
lv cheng 	旅程	c=1 d=9.87998e-06 t=3141
lv le lv 	捋了捋	c=1 d=0.0159229 t=3141
lv xing 	旅行	c=1 d=0.212248 t=3141
lv you 	旅游	c=3 d=2.84232 t=2914
lve xian 	略显	c=1 d=0.0784731 t=3141
ma 	吗	c=4 d=1.50363 t=3057
ma 	妈	c=1 d=1 t=2572
ma bi 	麻痹	c=1 d=0.0051953 t=3141
ma li ya 	玛利亚	c=1 d=2.1232e-05 t=3141
ma ma 	妈妈	c=1 d=1 t=2461
mai 	买	c=4 d=0.132161 t=3141
mai dang dang 	麦当当	c=1 d=1 t=2942
mai dao 	买到	c=1 d=0.00194986 t=3141
mai le 	买了	c=1 d=0.00179097 t=3141
man hua 	漫画	c=1 d=2.73991e-05 t=3141
mang mu 	盲目	c=1 d=0.628135 t=3141
mao mi 	猫咪	c=1 d=1.41613e-05 t=3141
mei 	没	c=5 d=0.541591 t=3141
mei cha 	没差	c=1 d=1 t=2937
mei ci 	每次	c=0 d=0.000373503 t=3141
mei ci yi 	每次一	c=1 d=0.00375375 t=3141
mei deng 	没等	c=1 d=0.00412784 t=3141
mei ge 	每个	c=3 d=0.73663 t=3141
mei ge ren 	每个人	c=2 d=0.513767 t=3141
mei kan 	没看	c=1 d=1 t=2682
mei mei 	每每	c=1 d=0.0144076 t=3141
mei nian 	每年	c=1 d=0.246597 t=3141
mei ren bao 	美人豹	c=2 d=5.80416e-05 t=3141
mei shuo hua 	没说话	c=1 d=0.449329 t=3141
mei tian 	每天	c=1 d=0.00200924 t=3141
mei tou 	眉头	c=1 d=0.0193512 t=3141
mei xiang guo 	没想过	c=1 d=0.0308074 t=3141
mei you 	没有	c=12 d=2.63908 t=3141
mei you di 	没有底	c=1 d=1.62893e-05 t=3141
mei you le 	没有了	c=2 d=0.111917 t=3141
men 	们	c=3 d=0.0826446 t=3141
meng 	梦	c=2 d=1.05256 t=3141
meng jing 	梦境	c=1 d=0.852144 t=3141
mi 	眯	c=1 d=0.357007 t=3141
mi mi ma ma 	密密麻麻	c=1 d=0.0695994 t=3141
mi zhe 	眯着	c=1 d=0.137381 t=3141
mi zhe yan 	眯着眼	c=1 d=0.236928 t=3141
mian ban 	面板	c=1 d=4.23306e-05 t=3141
mian wu biao qing 	面无表情	c=1 d=0.00388746 t=3141
miao shu 	描述	c=1 d=0.625002 t=3141
mie shi 	蔑视	c=1 d=0.0199405 t=3141
min zu zhu yi 	民族主义	c=1 d=0.0243554 t=3141
ming 	名	c=1 d=0.0143357 t=3141
ming bai 	明白	c=1 d=0.00263203 t=3141
ming ci 	名词	c=1 d=0.00265848 t=3141
ming ling 	命令	c=2 d=0.562705 t=3141
ming que 	明确	c=1 d=0.369723 t=3141
ming xian 	明显	c=1 d=0.67032 t=3141
ming zhi dao 	明知道	c=2 d=0.669756 t=3141
mo 	摸	c=1 d=0.0492917 t=3141
mo xing 	模型	c=1 d=0.0800583 t=3141
mou ge 	某个	c=1 d=1 t=3076
mu biao 	目标	c=2 d=0.194902 t=3141
mu guang 	目光	c=2 d=0.449221 t=3141
mu lu 	目录	c=4 d=2.79926 t=3141
mu qian 	目前	c=3 d=0.856541 t=3141
mu zhi 	木质	c=1 d=0.100259 t=3141
n 	唔	c=1 d=1 t=2999
na 	拿	c=2 d=0.647408 t=3141
na 	那	c=5 d=0.808694 t=3141
na chu 	拿出	c=1 d=0.213312 t=3141
na ge 	那个	c=1 d=1 t=2710
na jiu 	那就	c=1 d=0.895834 t=3141
na ken ding 	那肯定	c=1 d=1 t=2741
na li 	那里	c=1 d=0.286505 t=3141
na li lai 	哪里来	c=1 d=0.00481991 t=3141
na li le 	哪里了	c=1 d=0.00489275 t=3141
na li ren 	哪里人	c=1 d=0.444858 t=3141
na liang ge ren 	那两个人	c=1 d=0.283654 t=3141
na me 	那么	c=4 d=0.634448 t=3141
na nie 	拿捏	c=1 d=0.203926 t=3141
na pa 	哪怕	c=1 d=0.0639279 t=3141
na shi hou 	那时候	c=1 d=0.00172074 t=3141
na tian 	哪天	c=1 d=0.00250366 t=3141
na wo 	那我	c=1 d=1 t=2994
na xie 	那些	c=2 d=0.476161 t=3141
na yang 	那样	c=1 d=7.92887e-06 t=3141
na yi 	那一	c=1 d=0.00554422 t=3141
na yi duan 	那一端	c=1 d=0.161218 t=3141
na yi shun jian 	那一瞬间	c=1 d=0.740818 t=3141
na yi xia 	那一下	c=1 d=0.00737249 t=3141
na zhe 	拿着	c=1 d=1 t=2599
nai xin 	耐心	c=3 d=1.40976 t=3141
nan 	南	c=1 d=1.82746e-05 t=3141
nan jing 	南京	c=1 d=1 t=2545
nan nv 	男女	c=1 d=0.212248 t=3141
nao zi 	脑子	c=2 d=0.928463 t=3141
nao zi li 	脑子里	c=1 d=0.0293049 t=3141
ne 	呢	c=4 d=0.824665 t=3141
nei 	内	c=1 d=0.0347353 t=3141
nei ku 	内裤	c=1 d=3.60718e-05 t=3141
nei xin 	内心	c=2 d=0.680457 t=3141
nei xin you 	内心有	c=1 d=0.00416933 t=3141
neng 	能	c=3 d=0.353455 t=3141
neng fou 	能否	c=1 d=1 t=3015
neng kan jian 	能看见	c=1 d=0.0192547 t=3141
neng zuo 	能做	c=1 d=7.06753e-06 t=3141
ni 	你	c=5 d=1.15299 t=3141
ni 	拟	c=1 d=1.38116e-05 t=3141
ni de 	你的	c=1 d=0.571209 t=3141
ni gan 	你干	c=1 d=1 t=2672
ni ji de 	你记得	c=1 d=1 t=2697
ni jiu 	你就	c=1 d=1 t=2879
ni lai 	你来	c=1 d=6.08308e-06 t=3141
ni mai 	你买	c=2 d=1.97531 t=2719
ni shuo 	你说	c=1 d=1 t=2987
ni xian 	你先	c=1 d=0.486752 t=3141
ni xin zhong 	你心中	c=1 d=0.465334 t=3141
ni zai 	你在	c=1 d=3.46574e-05 t=3141
nian 	年	c=4 d=0.712792 t=3141
nian fen 	年份	c=3 d=0.308819 t=3141
nie 	捏	c=2 d=0.880119 t=3141
ning wang 	凝望	c=1 d=0.0106202 t=3141
ning xiao 	狞笑	c=1 d=0.506617 t=3141
niu ye ye 	牛爷爷	c=1 d=0.666977 t=3141
nu li 	努力	c=2 d=1.69073 t=2859
nuo dong 	挪动	c=1 d=0.0257325 t=3141
nv hai 	女孩	c=1 d=1 t=2693
nv peng you 	女朋友	c=1 d=0.155673 t=3141
ou er 	偶尔	c=1 d=0.0342181 t=3141
pa pa 	趴趴	c=1 d=1.79127e-05 t=3141
pa shi 	怕事	c=1 d=0.0207543 t=3141
pai 	派	c=2 d=1.0441 t=3141
pai chi 	排斥	c=1 d=0.0156858 t=3141
pai chu 	排除	c=1 d=4.53999e-05 t=3141
pai le pai 	拍了拍	c=1 d=0.0110536 t=3141
pai xu 	排序	c=1 d=1 t=2909
pan gen cuo jie 	盘根错节	c=1 d=0.0710054 t=3141
pan tan 	攀谈	c=2 d=0.337815 t=3141
pang 	旁	c=4 d=0.637119 t=3141
pang ci 	胖次	c=1 d=2.85173e-05 t=3141
pao 	跑	c=2 d=1.47473 t=2747
pei yang 	培养	c=1 d=0.603506 t=3141
pei zhi 	配置	c=1 d=1 t=3141
peng 	捧	c=1 d=1 t=2475
peng 	鹏	c=1 d=1 t=2474
peng you 	朋友	c=13 d=0.709797 t=3141
pi 	皮	c=1 d=0.00763509 t=3141
pi bei 	疲惫	c=1 d=8.85082e-06 t=3141
pi bei bu kan 	疲惫不堪	c=1 d=0.798516 t=3141
pian yi 	便宜	c=4 d=3.77083 t=2526
piao piao ran 	飘飘然	c=1 d=0.0235177 t=3141
pin fan 	频繁	c=1 d=0.810584 t=3141
ping dan 	平淡	c=1 d=7.54217e-06 t=3141
ping deng 	平等	c=1 d=0.185444 t=3141
ping jing 	平静	c=1 d=0.00798652 t=3141
ping mu 	屏幕	c=3 d=1.57861 t=2751
ping ping dan dan 	平平淡淡	c=1 d=8.37717e-06 t=3141
pu 	浦	c=1 d=1.80927e-05 t=3141
pu 	铺	c=1 d=0.0623495 t=3141
qi 	奇	c=1 d=3.0585e-05 t=3141
qi bu 	起步	c=1 d=1 t=2534
qi che 	汽车	c=1 d=0.946485 t=3141
qi da zui 	七大罪	c=1 d=4.08747e-05 t=3141
qi dai 	期待	c=2 d=1.87912 t=3141
qi dao 	祈祷	c=0 d=2.80927e-06 t=3141
qi dong 	启动	c=5 d=1.26209 t=3141
qi fei 	起飞	c=1 d=1 t=2819
qi guai 	奇怪	c=1 d=0.0569831 t=3141
qi lai 	起来	c=3 d=1.10087 t=3141
qi pian 	欺骗	c=1 d=0.225373 t=3141
qi shi 	其实	c=3 d=0.665923 t=3141
qi shi 	启示	c=0 d=1.60468e-06 t=3141
qi ta 	其他	c=4 d=0.168458 t=3141
qi wang 	期望	c=1 d=0.553954 t=3141
qi yong 	启用	c=1 d=0.00704808 t=3141
qi zhong 	其中	c=1 d=0.101266 t=3141
qian 	前	c=1 d=0.092089 t=3141
qian 	谦	c=1 d=1.74704e-05 t=3141
qian 	钱	c=6 d=0.0263402 t=3141
qian bao 	钱包	c=1 d=0.00181803 t=3141
qian hai 	前海	c=0 d=0.1 t=2451
qian hai zhan 	前海站	c=1 d=1 t=2452
qian qi 	前期	c=1 d=1 t=2762
qian shui wan 	浅水湾	c=1 d=0.574072 t=3141
qian tai 	前台	c=5 d=0.494737 t=3141
qian yi tian 	前一天	c=1 d=0.71177 t=3141
qian zheng 	签证	c=2 d=1.15803 t=2849
qiang 	墙	c=1 d=0.0724398 t=3141
qiang da 	强大	c=1 d=0.0156076 t=3141
qiang lie 	强烈	c=2 d=0.0603055 t=3141
qiang sheng 	强盛	c=1 d=0.0178634 t=3141
qiang zhuang 	强装	c=1 d=0.433874 t=3141
qiang zhuang zhen ding 	强装镇定	c=1 d=0.0515605 t=3141
qiao ke li 	巧克力	c=1 d=2.68566e-05 t=3141
qie 	且	c=1 d=0.161218 t=3141
qie ge 	切割	c=1 d=0.860708 t=3141
qing 	清	c=1 d=1 t=2992
qing 	请	c=2 d=2.04723 t=2934
qing chu 	清楚	c=2 d=0.0545798 t=3141
qing chu 	清除	c=1 d=1 t=2556
qing heng 	轻哼	c=1 d=0.00995182 t=3141
qing jia 	请假	c=1 d=1 t=2928
qing kuang 	情况	c=6 d=1.60914 t=3141
qing nian 	青年	c=0 d=1.52642e-06 t=3141
qing nian wan bao 	青年晚报	c=1 d=1.53407e-05 t=3141
